make	Model	Protection	Doors	Year	Wt
Acura	Integra	manual belts	2	87	2350
Acura	Integra RS	Motorized belts	4	90	2490
Acura	Legend LS	airbag	4	88	3280
Audi	80	manual belts	4	89	2790
Audi	100	airbag	4	89	3100
BMW	325i	airbag	2	90	2862
Buick	Century	passive belts	4	91	2992
Buick	Elect. Park Ave	manual belts	4	88	3360
Buick	Regal	passive belts	2	88	3210
Cadillac	De Ville	airbag	4	90	3500
Chevrolet	Astro	manual belts	-	88	3787
Chevrolet	Astro	manual belts	-	89	4002
Chevrolet	Beretta	airbag	2	91	2671
Chevrolet	Beretta GT	passive belts	2	88	2890
Chevrolet	Camaro	manual belts	2	87	3070
Chevrolet	Camaro	airbag	2	91	3191
Chevrolet	Caprice	manual belts	4	89	3693
Chevrolet	Caprice	airbag	4	91	3990
Chevrolet	Cavalier	passive belts	4	90	2540
Chevrolet	Corsica	manual belts	4	88	2750
Chevrolet	Corsica	airbag	4	91	2830
Chevrolet	C-1500	manual belts	-	88	3680
Chevrolet	G-20 Beauville	manual belts	-	87	4887
Chevrolet	G-20	manual belts	-	88	4244
Chevrolet	Lumina	passive belts	4	90	3155
Chevrolet	Suburban	manual belts	4	87	5619
Chevrolet	S-10 Blazer 4X4	manual belts	2	89	3518
Chevrolet	S-10 Blazer 4X4	manual belts	2	90	3720
Chevrolet	S-10 Blazer 4X4	manual belts	4	91	3820
Chevrolet	S-10 Pickup	manual belts	-	87	2592
Chevrolet	S-10 Pickup 4x4	manual belts	-	90	3360
Chrysler	Fifth Ave	airbag	4	89	3820
Chrysler	Imperial	airbag	4	90	3540
Chrysler	Le Baron	passive belts	2	87	2870
Chrysler	Le Baron	airbag	2	90	3000
Chrysler	New Yorker	manual belts	4	88	3190
Chrysler	New Yorker	airbag	4	91	3310
Daihatsu	Charade	manual belts	2	88	1820
Dodge	colt	manual belts	4	88	2348
Dodge	D-150	manual belts	-	88	3550
Dodge	Dakota	manual belts	-	87	3010
Dodge	Dakota 4x4	manual belts	-	90	3740
Dodge	Daytona	airbag	2	89	2790
Dodge	Shadow	manual belts	2	87	2550
Dodge	Shadow	airbag	4	91	2730
Dodge	Spirit	manual belts	4	89	2840
Eagle	Medallion	Motorized belts	4	89	2740
Eagle	Premier	manual belts	4	89	3060
Ford	Aerostar	manual belts	-	87	3013
Ford	Bronco II 4x4	manual belts	2	89	3485
Ford	Club Wagon	manual belts	-	90	5103
Ford	Escort	passive belts	2	87	2280
Ford	Escort	Motorized belts	2	91	2336
Ford	Explorer 4x4	manual belts	4	91	4212
Ford	F-150	manual belts	-	88	3757
Ford	Festiva	manual belts	2	88	1760
Ford	Mustang LX	manual belts	2	87	2868
Ford	Mustang	airbag	2	90	3445
Ford	Probe	manual belts	2	89	2650
Ford	Probe	Motorized belts	2	91	2810
Ford	Ranger	manual belts	-	87	2668
Ford	Ranger 4x4	manual belts	-	90	3533
Ford	Taurus	manual belts	4	88	3140
Ford	Taurus	airbag	4	90	3080
Ford	Taurus	airbag	4	91	3290
Ford	Tempo	passive belts	4	88	2660
Ford	T-Bird	Motorized belts	2	89	3630
Geo	Metro	manual belts	2	89	1590
Geo	Metro	manual belts	4	89	1650
Geo	Prizm	manual belts	4	90	2355
