"Geschlecht" "Groesse" "Schuhgroesse"
"1" "m" 177 42
"2" "m" 182 46
"3" "m" 185 45
"4" "m" 178 43
"5" "w" 170 38
"6" "w" 178 40
"7" "w" 170 39
"8" "w" 168 40
"9" "w" 184 42
"10" "w" 163 39
"11" "w" 173 40
"12" "m" 189 48
"13" "w" 167 40
"14" "w" 173 40
"15" "w" 170 38
"16" "w" 172 39
"17" "w" 154 37
"18" "w" 163 38
"19" "w" 173 38
"20" "m" 172 45
"21" "w" 176 40
"22" "w" 172 40
"23" "w" 165 38
"24" "m" 180 42
"25" "m" 180 45
"26" "m" 195 46
"27" "m" 195 46
"28" "m" 180 42
"29" "w" 171 39
"30" "m" 180 45
"31" "w" 159 38
"32" "w" 178 41
"33" "w" 172 39
"34" "w" 177 39
"35" "m" 190 43
"36" "m" 197 46
"37" "w" 159 35
"38" "w" 167 38
"39" "w" 164 36
"40" "m" 180 45
"41" "w" 170 40
"42" "w" 165 40
"43" "m" 180 42
"44" "w" 160 37
"45" "w" 158 37
"46" "m" 192 48
"47" "w" 166 39.5
"48" "m" 181 43
"49" "m" 178 43.5
"50" "m" 180 43
"51" "m" 170 42
"52" "m" 176 44
"53" "m" 192 44
"54" "w" 163 38
"55" "w" 162 38
"56" "w" 155 36
"57" "m" 185 43
"58" "w" 176 40
"59" "m" 176 42
"60" "m" 188 46
"61" "w" 178 40
"62" "m" 189 44
"63" "w" 172 38
"64" "m" 180 47
"65" "m" 187 42
"66" "m" 181 43
"67" "w" 166 39
"68" "m" 172 40
"69" "m" 176 42
"70" "m" 186 45
"71" "m" 174 42
"72" "m" 179 42
"73" "w" 160 36.5
"74" "m" 177 41
